id,name,name_en,order_id,existence,full_name,description,early_round_type,later_round_type
0,'全日程終了',finished,0,1,'','','',''
1,'男子個人実戦',zissen_man,1,1,'男子個人実戦競技','試合時間 予選1分30秒 三決・決勝2分 (準決・三決・決勝は1分1回のみ延長あり)|胴プロテクター着用厳守','',''
2,'男子個人法形',hokei_man,2,1,'男子個人法形競技','1 ・ 2 回戦:旋体の法形 / 3 回戦以降:体の法形から自由選択','指定法形','自由法形'
3,'女子個人実戦',zissen_woman,3,1,'女子個人実戦競技','試合時間 予選1分30秒 三決・決勝2分 (準決・三決・決勝は1分1回のみ延長あり)|胴プロテクター着用厳守','',''
4,'女子個人法形',hokei_woman,4,1,'女子個人法形競技','1 ・ 2 回戦:旋陰の法形 / 3 回戦以降:陰の法形から自由選択','指定法形','自由法形'
5,'壮年法形',hokei_sonen,5,1,'壮年法形競技','1.2 回戦勢命(表のみ)、3 回戦以降 活命・延命から選択','勢命','活命/延命'
6,'女子団体実戦',dantai_zissen_woman,6,1,'女子団体実戦競技','試合時間 1分30秒','',''
7,'男子団体実戦',dantai_zissen_man,7,1,'男子団体実戦競技','試合時間 1分30秒','',''
8,'男子団体法形',dantai_hokei_man,8,1,'男子団体法形競技','','',''
9,'女子団体法形',dantai_hokei_woman,9,1,'女子団体法形競技','','',''
10,'男子団体展開',tenkai_man,10,1,'男子団体展開競技','','',''
11,'女子団体展開',tenkai_woman,11,1,'女子団体展開競技','','',''
12,'個人法形(新人の部)',hokei_newcommer,12,0,'個人法形(新人の部)','','',''
13,'男子級位実戦',zissen_kyuui_man,13,0,'男子級位実戦','','',''
14,'男子級位法形',hokei_kyuui_man,14,0,'男子級位法形','','',''
15,'女子級位実戦',zissen_kyuui_woman,15,0,'女子級位実戦','','',''
16,'女子級位法形',hokei_kyuui_woman,16,0,'女子級位法形','','',''
17,'団体実戦',dantai_zissen,17,0,'団体実戦','','',''
18,'団体法形',dantai_hokei,18,0,'団体法形','','',''
19,'団体展開',tenkai,19,0,'団体展開','','',''
20,'個人法形(級位の部)',hokei_kyuui,20,0,'個人法形(級位の部)','','',''
21,'個人実戦(壮年の部) 男子',zissen_sonen_man,21,0,'個人実戦(壮年の部) 男子','','',''
22,'個人実戦(壮年の部) 女子',zissen_sonen_woman,22,0,'個人実戦(壮年の部) 女子','','',''
23,'個人法形(制の法形)',hokei_sei,23,0,'個人法形(制の法形)','','',''
24,'個人法形(命) 有段者の部',hokei_mei,24,0,'個人法形(命) 有段者の部','','',''
25,'個人法形(命) 新人/級位の部',hokei_mei_kyuui_newcommer,25,0,'個人法形(命) 新人/級位の部','','',''
26,'新人団体法形',dantai_hokei_newcommer,9,0,'新人団体法形競技','旋体・旋陰から選択 令和 6年 4 月以降に躰道部に入部した 5 級以下の男女|1 チーム 5 名（ 4 名以下不可）　旋体の場合は男子 3 名以上、旋陰の場合は女子 3 名以上の人員構成とする','',''
