id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
2,4,'10:15-10:50',0,0,1,0
1,2,'9:30-10:15',0,0,1,0
3,20,'10:50-11:25',0,0,1,0
5,1,'11:45-12:20',0,0,1,1
4,24,'11:25-11:45',0,0,1,0
6,3,'13:30-13:55',0,0,1,1
7,25,'13:55-14:05',0,0,1,0
8,23,'14:05-14:30',0,0,1,1
9,19,'14:50-15:15',0,0,1,0
10,25,'15:15-',0,1,1,0
11,24,'',0,1,1,0
12,23,'',0,1,1,0
13,12,'',0,1,1,0
14,20,'',0,1,1,0
15,4,'',0,1,1,0
16,2,'',0,1,1,0
17,22,'',0,1,1,0
18,21,'',0,1,1,0
20,1,'',0,1,1,0
19,3,'',0,1,1,0
21,0,'',0,0,0,0
