id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,6,18,,14,3,0,0
18,21,29,,24,1,,0
5,17,13,,16,3,0,0
25,24,27,27,,3,,
2,16,7,15,,3,0,0
3,26,10,,15,-1,1,0
20,15,14,24,,3,,
6,8,22,17,,0,0,0
11,11,27,,21,0,0,0
14,25,6,22,,3,0,
24,15,29,,27,0,,
7,1,28,,17,0,0,0
15,16,10,,22,3,,
12,20,4,21,,1,0,0
27,24,29,,29,3,,
16,12,17,23,,0,,
22,25,16,26,,3,,
17,22,28,,23,0,,
8,21,5,18,,3,0,0
9,9,14,,20,0,0,0
23,17,28,,26,0,,
13,23,3,,19,3,0,0
10,2,15,20,,1,0,0
19,24,23,25,,3,0,
26,25,28,29,,3,,
21,4,27,,25,0,,
4,12,19,16,,3,0,0
28,28,29,,,2,0,0
29,25,24,,,1,0,0
