id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,35,15,,19,,,
2,46,25,20,,,,
3,30,48,,20,,,
4,11,18,,21,,,
5,21,42,22,,,,
6,3,19,,23,,,
7,44,43,24,,,,
8,23,40,,25,,,
9,36,9,26,,,,
10,39,29,27,,,,
11,33,47,,28,,,
12,20,1,29,,,,
13,13,26,,30,,,
14,28,31,31,,,,
15,14,6,,32,,,
16,41,7,,33,,,
17,45,4,33,,,,
18,10,37,,34,,,
19,2,,35,,,,
20,,,,35,,,
21,8,,36,,,,
22,,49,,36,,,
23,27,,37,,,,
24,,24,,37,,,
25,38,,38,,,,
26,,16,,38,,,
27,,22,,39,,,
28,34,,39,,,,
29,,32,,40,,,
30,50,,40,,,,
31,,17,,41,,,
32,12,,41,,,,
33,,,,42,,,
34,5,,42,,,,
35,,,43,,,,
36,,,,43,,,
37,,,44,,,,
38,,,,44,,,
39,,,,45,,,
40,,,45,,,,
41,,,,46,,,
42,,,46,,,,
43,,,47,,,,
44,,,,47,,,
45,,,,48,,,
46,,,48,,,,
47,,,50,,,,
48,,,,50,,,
49,,,,,,,
50,,,,,,,
